date,est_btc_volume,est_usd_volume,n_transactions,avg_block_size,mempool_bytes,hash_rate,tx_per_block,whale_pressure,tx_anomaly,mempool_anomaly,miner_confidence,whale_activity
2025-03-31,118648.48172068,9821678609.988209,318279.0,1.4814420405405406,1607086.0,836927632.4366131,2150.5337837837837,0.0,0.0,0.0,0.0,0.0
2025-04-01,78013.51235774004,6557955353.679704,356323.0,1.5721514814814819,3313184.0,763413718.7766403,2639.4296296296297,-0.2066,0.0564,0.3467,-0.0459,0.1735
2025-04-02,112009.95716686996,9548511632.805397,399055.0,1.348659918604651,1315316.0,972645626.8857933,2320.0872093023254,0.0886,0.115,-0.3672,0.1341,0.1568
2025-04-03,143504.08764729,11835707286.54347,392043.0,1.585139506578947,1310171.5,859547298.1781431,2579.2302631578946,0.2695,0.0699,-0.3055,0.0016,0.19
2025-04-04,105283.60618314,8780468949.850952,429861.0,1.4103609666666665,1670214.0,1017884958.3688537,2388.116666666667,-0.0557,0.1339,-0.0938,0.1436,0.0956
2025-04-05,46352.17869173996,3868108851.8407145,293474.0,1.1343801219512197,3488088.0,948981343.907835,1789.4756097560976,-0.5394,-0.1956,0.6474,0.0545,0.4094
2025-04-06,53332.86334240999,4346039061.740272,279475.0,1.313209200000001,439177.0,875826848.0097468,1927.4137931034484,-0.4319,-0.2075,-0.7661,-0.023,0.3905
2025-04-07,158863.89966685997,12325031990.720432,309387.0,1.4500031862068958,997706.5,875826848.0097468,2133.7034482758622,0.5575,-0.109,-0.4356,-0.0202,0.3448
2025-04-08,100588.80438255999,7889160738.948145,363972.0,1.2999018235294117,245264.5,924148329.2792498,2378.901960784314,-0.0123,0.0426,-0.8466,0.03,0.19
2025-04-09,135481.63881491008,10619510422.057436,317312.0,1.3897951374045805,2788970.5,791264255.7881161,2422.2290076335876,0.2878,-0.0827,0.6238,-0.1076,0.2754
2025-04-10,102488.82163317993,8272452338.091592,322464.0,1.3503154861111113,183192.5,869786662.851059,2239.3333333333335,-0.0236,-0.062,-0.8839,-0.0173,0.2066
2025-04-11,127119.53323151996,10441636973.743479,405030.0,1.4232085135135133,1713171.5,893947403.4858105,2736.689189189189,0.1902,0.1609,0.0779,0.0091,0.1408
2025-04-12,38106.676940640005,3199768362.3695993,409511.0,1.4251067361111105,1311766.0,869786662.851059,2843.8263888888887,-0.6246,0.1583,-0.1634,-0.0168,0.3317
2025-04-13,33995.10576231998,2872917277.051721,455139.0,1.3317095174418605,1207144.5,1038911847.2943201,2646.156976744186,-0.6484,0.2614,-0.2172,0.16,0.3972
2025-04-14,86608.47028514999,7327920945.142364,441688.0,1.4915851073825501,1215366.0,899987588.6444983,2964.3489932885905,-0.0826,0.195,-0.1974,-0.0002,0.131
2025-04-15,75298.55063174,6411287873.065953,442899.0,1.509216645833333,7824854.0,869786662.851059,3075.6875,-0.2008,0.1785,3.2608,-0.0418,0.7902
2025-04-16,107631.91921450994,9044954451.20895,507129.0,1.621543689189189,1314306.5,893947403.4858105,3426.5472972972975,0.1462,0.3223,-0.2843,-0.0091,0.2129
2025-04-17,92492.66265581003,7817372046.315234,557181.0,1.6875147777777777,2855852.5,924148329.2792498,3641.705882352941,0.0247,0.4094,0.467,0.0192,0.228
2025-04-18,45800.01598304999,3870953753.6277747,508733.0,1.6653093676470596,7104244.5,821465181.5815556,3740.6838235294117,-0.4675,0.2688,2.0426,-0.0798,0.6841
2025-04-19,29529.806979609988,2510500478.902752,545076.0,1.6493560287769784,18412021.0,847396221.1293446,3921.410071942446,-0.6518,0.3011,4.4138,-0.043,1.2381
2025-04-20,26391.050374669976,2232630980.687477,468737.0,1.6637433658536578,12756951.5,753499802.4397362,3810.869918699187,-0.6816,0.0839,1.9801,-0.1405,0.7079
2025-04-21,91165.52638834999,7961048503.294534,444986.0,1.6515207380952381,11942687.0,771877846.401681,3531.6349206349205,0.168,0.0065,1.359,-0.1121,0.3522
2025-04-22,138441.57702595004,12491830345.924187,518267.0,1.7016848,6139516.5,949532271.367147,3343.658064516129,0.7144,0.1437,0.1196,0.09,0.3618
2025-04-23,173420.71752954007,16200026210.79612,418203.0,1.5722158771929824,21673238.5,698365670.5539016,3668.4473684210525,1.0778,-0.0916,2.1721,-0.1921,0.9122
2025-04-24,151125.65750576003,14035201954.66458,464739.0,1.6355802695035464,9212075.5,863768066.2114046,3296.021276595745,0.7383,-0.0123,0.232,-0.0003,0.3454
2025-04-25,183767.1791326,17332578422.84961,392451.0,1.7315263819444444,17777117.0,882146110.1733494,2725.3541666666665,1.0198,-0.1643,1.0612,0.022,0.6717
2025-04-26,48216.16766000005,4555887933.739448,321357.0,1.8938662781954885,4093620.5,814759948.9795519,2416.218045112782,-0.4742,-0.3064,-0.5361,-0.0518,0.394
2025-04-27,41289.21837519001,3888393605.9005857,441827.0,1.603343444444444,11584931.0,827011978.2875152,3272.7925925925924,-0.5523,-0.0444,0.2112,-0.0203,0.2785
2025-04-28,122046.10573630998,11534611913.428812,409765.0,1.6737808226950353,8003082.5,863768066.2114046,2906.1347517730496,0.288,-0.1094,-0.2036,0.0264,0.1914
2025-04-29,133474.34418701,12682042160.758211,467725.0,1.6012471027397268,18455199.5,894398139.4813126,3203.595890410959,0.3494,0.0127,0.7074,0.0606,0.2911
2025-04-30,89057.05934212,8415953464.653325,350729.0,1.581549507575757,20782298.5,808633934.3255703,2657.037878787879,-0.0874,-0.2218,0.7035,-0.0341,0.2456
2025-05-01,90824.40218982003,8742561243.010767,331199.0,1.6676638592592596,18555031.5,827011978.2875152,2453.3259259259257,-0.0682,-0.2378,0.3929,-0.0039,0.1776
2025-05-02,106821.64463806996,10365219305.55276,379268.0,1.6573263081761007,7390518.5,974036329.9830736,2385.3333333333335,0.0491,-0.1083,-0.446,0.158,0.1571
2025-05-03,59969.20906341999,5780366401.056679,389717.0,1.6710641097560985,466270.5,999957994.4593519,2376.3231707317073,-0.4234,-0.0591,-0.9613,0.1736,0.3967
2025-05-04,28053.644427800013,2688789794.2843966,347977.0,1.8913832446043173,1737450.0,823060870.7158544,2503.431654676259,-0.7306,-0.142,-0.8459,-0.0396,0.508
2025-05-05,130146.23414077002,12316169616.315157,402262.0,1.4848936514285707,4033409.0,1036227714.9300332,2298.64,0.2174,-0.0007,-0.6233,0.183,0.2301
2025-05-06,102557.5080475,9692283136.625355,332218.0,1.6543183550724647,5728167.0,817139569.4876828,2407.376811594203,-0.0171,-0.1465,-0.4636,-0.0569,0.1492
2025-05-07,91490.64214063004,8870488913.741823,343011.0,1.6128247549668875,5820652.5,894116485.453914,2271.5960264900664,-0.0711,-0.1065,-0.3902,0.0155,0.14
2025-05-08,103307.53555798001,10352926922.70228,373813.0,1.6702169056603768,9136740.0,941486895.2792871,2351.0251572327043,0.0866,-0.0095,-0.0423,0.0626,0.0522
2025-05-09,116396.44153447,12000952154.164745,334543.0,1.538478228571429,14640914.0,828982171.944026,2389.592857142857,0.2896,-0.1037,0.5715,-0.0603,0.2673
2025-05-10,35242.66703230001,3641552067.7514997,331074.0,1.9174952266666658,3780055.0,888195184.2257423,2207.16,-0.6055,-0.1146,-0.5933,0.0009,0.3953
2025-05-11,38432.42978971003,4002446571.2172523,281756.0,1.5390386979865778,404202.0,882273882.9975705,1890.979865771812,-0.5688,-0.2228,-0.9524,-0.0102,0.4859
2025-05-12,102668.92895399002,10610173476.098167,378285.0,1.6455296482758621,1120473.5,858588678.0848842,2608.862068965517,0.1701,0.05,-0.86,-0.0364,0.2587
2025-05-13,117434.18160838005,12139989800.498348,295785.0,1.5784312230769235,11194868.0,769769159.6623099,2275.269230769231,0.3561,-0.15,0.4956,-0.1274,0.2993
2025-05-14,88696.92004122003,9186120404.981548,326818.0,1.7275102152777775,3252816.0,852667376.8567126,2269.5694444444443,0.0245,-0.0562,-0.4781,-0.0368,0.126
2025-05-15,129656.21626656999,13310349561.179665,374153.0,1.6858888972602746,4619042.0,864509979.3130558,2562.6917808219177,0.4511,0.071,-0.1181,-0.0264,0.228
2025-05-16,89186.00243570998,9260377548.058199,363786.0,1.6120485000000007,22787209.5,805296967.0313396,2674.8970588235293,0.0125,0.0447,2.5957,-0.0806,0.5456
2025-05-17,29190.690666320002,3011615665.251809,291797.0,1.4959012657342654,2324081.5,853317480.0820746,2040.5384615384614,-0.6601,-0.1449,-0.6408,-0.014,0.4371
2025-05-18,41005.48002846998,4277222751.359123,629314.0,1.5649339629629633,13553845.5,979723251.2998109,3884.6543209876545,-0.5277,0.7417,0.8531,0.1176,0.616
2025-05-19,106163.51368036,11066325015.853483,585883.0,1.5391844822695036,18266838.5,852722089.09428,4155.198581560284,0.2475,0.5647,1.1927,-0.0125,0.5082
2025-05-20,102905.86509608006,10861017407.833975,569769.0,1.539952425675676,7131489.0,895055809.829457,3849.7905405405404,0.2089,0.4557,-0.1541,0.0299,0.2541
2025-05-21,137434.4802378599,14775186534.55395,422191.0,1.7006174027777776,1692735.5,870865112.2664988,2931.8819444444443,0.5545,0.0633,-0.7919,0.004,0.3996
2025-05-22,144581.37073659,16043204929.738068,467803.0,1.6638796266666678,10227759.5,907151158.610936,3118.6866666666665,0.5826,0.1586,0.2452,0.0488,0.3345
2025-05-23,140731.32592997001,15409133940.94576,444625.0,1.8816288580645164,8889595.5,937389530.5646338,2868.548387096774,0.5117,0.0801,0.1392,0.0741,0.264
2025-05-24,50400.30068179004,5446155680.062743,395420.0,1.917446106382979,492031.0,852722089.09428,2804.3971631205673,-0.4648,-0.05,-0.935,-0.02,0.3899
2025-05-25,30626.227641850022,3288796413.1677313,356355.0,1.4524477152317878,2124411.0,913198833.0016756,2359.9668874172185,-0.6729,-0.1547,-0.7238,0.0468,0.465
2025-05-26,84128.51042997002,9216183401.120417,358290.0,1.464100849673203,1101721.0,925294181.7831548,2341.764705882353,-0.0885,-0.1472,-0.8567,0.0549,0.2564
2025-05-27,111846.29107617999,12251387161.35873,422984.0,1.3929357943262408,11950246.0,852722089.09428,2999.886524822695,0.2171,-0.0145,0.5432,-0.0343,0.2033
2025-05-28,97512.01377163998,10535083488.500374,541153.0,1.576744341463415,1340159.5,991818600.0812899,3299.7134146341464,0.0539,0.2173,-0.8238,0.1107,0.2626
2025-05-29,96521.58557127997,10341416369.58704,382859.0,1.4227337987421385,180615.0,961580228.1275918,2407.9182389937105,0.0706,-0.14,-0.9752,0.0685,0.2721
2025-05-30,114441.21372795003,12038234757.004648,396232.0,1.4189764967741936,461782.0,937389530.5646338,2556.335483870968,0.2444,-0.1145,-0.9189,0.0308,0.319
2025-05-31,30945.15155582999,3219514300.9733295,299392.0,1.065115192546584,742561.0,1016284104.8877773,1859.5776397515529,-0.664,-0.3317,-0.867,0.1035,0.5489
2025-06-01,25869.364524469987,2705917037.3142548,256072.0,1.2727644962406015,1309499.0,839539043.1681639,1925.3533834586467,-0.7157,-0.3923,-0.7219,-0.0784,0.5562
2025-06-02,121168.60405169001,12666100367.852962,346488.0,1.4465421578947368,1476073.0,839539043.1681639,2605.1729323308273,0.3159,-0.1429,-0.5793,-0.0775,0.2928
2025-06-03,108173.84356052999,11439289120.522953,358895.0,1.8001074236111114,4077689.0,908974603.1294405,2492.3263888888887,0.17,-0.0779,0.2392,-0.0023,0.1394
2025-06-04,129747.23458681996,13646987293.23523,337037.0,1.6676330793650795,250402.5,795352777.73826,2674.8968253968255,0.4117,-0.1203,-0.9214,-0.1218,0.3972
2025-06-05,101433.06239314997,10550534159.238892,320509.0,1.3599081119402985,167845.0,845851366.801007,2391.8582089552237,0.1419,-0.1398,-0.932,-0.0615,0.2912
2025-06-06,110105.53710343003,11455561872.615784,298643.0,1.5769285895522394,1806655.0,845851366.801007,2228.679104477612,0.2709,-0.1754,-0.0796,-0.0546,0.1824
2025-06-07,34959.3610701,3677820071.5810657,290718.0,1.1750631118881123,600437.5,902662279.4965969,2032.993006993007,-0.5913,-0.1804,-0.6953,0.0049,0.4302
2025-06-08,22339.99318026999,2364440624.399593,307505.0,1.3304664183006538,2000727.0,965785515.8250304,2009.8366013071895,-0.737,-0.1244,0.0198,0.0707,0.3432
2025-06-09,86366.37215465997,9265964068.03982,361275.0,1.3634722714285716,8991339.5,883725308.5980667,2580.535714285714,0.0149,0.0281,2.5603,-0.0171,0.5282
2025-06-10,102384.31414151996,11196025800.767021,428797.0,1.427166207100591,1583733.5,1066782693.9505239,2537.2603550295858,0.2127,0.2188,-0.1127,0.1667,0.1899
2025-06-11,79723.63088702,8722630197.219322,347263.0,1.5753783971631203,5209541.0,890037632.2309102,2462.8581560283687,-0.0413,0.0275,1.5272,-0.0188,0.3321
2025-06-12,59372.28524100001,6376367919.772322,425413.0,1.4945084324324327,4197991.5,934223897.6608136,2874.412162162162,-0.2625,0.2475,0.7877,0.0321,0.34
2025-06-13,109734.80249821,11515533272.179176,351499.0,1.4265965517241375,5481833.5,915286926.7622839,2424.1310344827584,0.3688,0.0405,1.0251,0.013,0.366
2025-06-14,36913.97637145998,3885367331.7677402,273850.0,1.1009524701986757,410440.5,949216466.5546213,1813.5761589403974,-0.542,-0.185,-0.847,0.0561,0.4473
2025-06-15,29904.244394870002,3155873881.1872916,281934.0,1.143612360294118,446883.0,854616743.0404905,2073.044117647059,-0.6303,-0.1655,-0.8295,-0.0503,0.4727
2025-06-16,110903.41578948,11917602155.905172,361092.0,1.2807492602739727,2688756.0,917456209.4405266,2473.2328767123286,0.3837,0.0655,-0.0072,0.0133,0.1759
2025-06-17,89300.30433091996,9427005107.909824,354536.0,1.513460457627119,2500788.5,741505703.5204258,3004.5423728813557,0.1333,0.0471,-0.0365,-0.1701,0.0918
2025-06-18,97816.66290998002,10252024346.377224,441317.0,1.5107156071428576,1226889.5,879752529.6005048,3152.2642857142855,0.2783,0.2754,-0.5397,-0.0219,0.3041
2025-06-19,50180.796544899975,5255470077.15392,308332.0,1.5800727795275595,8304428.5,798061223.2804582,2427.8110236220473,-0.3112,-0.1067,1.558,-0.1094,0.479
2025-06-20,82718.80186894008,8671147096.782238,353459.0,1.4394211456953645,2416415.5,948875942.6405447,2340.7880794701987,0.1667,0.0126,-0.2655,0.0503,0.1286
